GENE,Neuron
ABLIM1,Neuron_D1-MSN
GDAP1L1,Neuron_D1-MSN
DISP2,Neuron_D1-MSN
CCDC88C,Neuron_D1-MSN
PLEKHG5,Neuron_D1-MSN
HPCAL4,Neuron_D1-MSN
NPY1R,Neuron_D1-MSN
MAP3K5,Neuron_D1-MSN
PROK2,Neuron_D1-MSN
RPRM,Neuron_D1-MSN
CADM1,Neuron_D1-MSN
CDKN1A,Neuron_D1-MSN
FAM184B,Neuron_D1-MSN
SPINK8,Neuron_D1-MSN
4933407C03RIK,Neuron_D1-MSN
6330527O06RIK,Neuron_D1-MSN
GSX2,Neuron_D1-MSN
GABRA5,Neuron_D1-MSN
SLC29A1,Neuron_D1-MSN
NUDT4,Neuron_D1-MSN
CD200,Neuron_D1-MSN
ARHGDIG,Neuron_D1-MSN
NRP2,Neuron_D1-MSN
MAP2K1,Neuron_D1-MSN
AGPAT4,Neuron_D1-MSN
FGF10,Neuron_D1-MSN
NLGN1,Neuron_D1-MSN
2610002J02RIK,Neuron_D1-MSN
PRKAR1B,Neuron_D1-MSN
PRR24,Neuron_D1-MSN
DLK1,Neuron_D1-MSN
TTC39C,Neuron_D1-MSN
WDR1,Neuron_D1-MSN
PDE9A,Neuron_D1-MSN
SSH3,Neuron_D1-MSN
BAG1,Neuron_D1-MSN
LTK,Neuron_D1-MSN
DCLK3,Neuron_D1-MSN
MAST4,Neuron_D1-MSN
BRI3BP,Neuron_D1-MSN
SLC35F4,Neuron_D1-MSN
SSTR2,Neuron_D1-MSN
NRG3,Neuron_D1-MSN
FAM70A,Neuron_D1-MSN
PLXNA2,Neuron_D1-MSN
HTR1F,Neuron_D1-MSN
IMPG1,Neuron_D1-MSN
TLE3,Neuron_D1-MSN
LOC626082,Neuron_D1-MSN
PALMD,Neuron_D1-MSN
KNDC1,Neuron_D1-MSN
CDH22,Neuron_D1-MSN
BC068157,Neuron_D1-MSN
BSCL2,Neuron_D1-MSN
EYA1,Neuron_D1-MSN
FRCL1,Neuron_D1-MSN
KCNIP2,Neuron_D1-MSN
MYO5B,Neuron_D1-MSN
RAB40B,Neuron_D1-MSN
SPATA13,Neuron_D1-MSN
WNT2,Neuron_D1-MSN
ZFP261,Neuron_D1-MSN
AU024582,Neuron_D1-MSN
1110004P15RIK,Neuron_D1-MSN
SATB2,Neuron_D1-MSN
AU024582,Neuron_D1-MSN
D030060O14RIK,Neuron_D1-MSN
PUM1,Neuron_D1-MSN
PUM1,Neuron_D1-MSN
FRAT2,Neuron_D1-MSN
PEG3,Neuron_D1-MSN
NR4A2,Neuron_D1-MSN
C230078M08RIK,Neuron_D1-MSN
SRC,Neuron_D1-MSN
USF1,Neuron_D1-MSN
NRF1,Neuron_D1-MSN
D5ERTD679E,Neuron_D1-MSN
ERCC4,Neuron_D1-MSN
TRPM2,Neuron_D1-MSN
DAPK1,Neuron_D1-MSN
SMPD3,Neuron_D1-MSN
PLXNB2,Neuron_D1-MSN
AI036339,Neuron_D1-MSN
D430042O09RIK,Neuron_D1-MSN
INPP4A,Neuron_D1-MSN
ASH1L,Neuron_D1-MSN
SMYD5,Neuron_D1-MSN
NOL8,Neuron_D1-MSN
GTPBP2,Neuron_D1-MSN
PALM,Neuron_D1-MSN
PEG3,Neuron_D1-MSN
